通道名称,唯一标识码,经度,纬度,类别
068440A001-市政府门口,13068400001310592188,115.868347000000,39.325241000000,0
东光县政府门口092318A001,13092300001310000407,116.543111000000,37.886331000000,0
市政府大陆裕丰楼顶-球机,13110200001310588317,115.663251000000,37.735751000000,0
市政府东门对面绿化带重要道路030235A043,13030200551310196954,119.511736000000,39.886134000000,0
广阳道市政府门口西侧100342A018,13100342001310220101,116.677508500000,39.536369920000,0
市政府北院2,13050203001316143347,114.498982000000,37.069901000000,0
市政府东门向南040318A183,13040318001310761853,114.496939772620,36.610192766180,0
唐山市政府西门南020321A016,13020313001320003362,118.173810150000,39.630879520000,0
西部快速路市政府西门对面030232A044,13030200551310196955,119.508732000000,39.884256000000,0
双桥市政府后门080221E049,13080200001310226646,117.958008066905,40.953094696183,0
